Date,Open,High,Low,Close,Adj Close,Volume
2018-08-08,67.739998,68.150002,67.339996,67.379997,67.071800,1681900
2018-08-09,67.480003,67.620003,66.610001,66.690002,66.384964,1727800
2018-08-10,66.820000,66.870003,65.930000,66.260002,65.956924,2165900
2018-08-13,66.440002,66.989998,65.669998,65.940002,65.638397,2983100
2018-08-14,66.050003,67.260002,66.050003,66.750000,66.444687,3110100
2018-08-15,65.940002,66.389999,64.220001,64.730003,64.433929,6071500
2018-08-16,65.040001,65.669998,64.809998,65.500000,65.200409,3149500
2018-08-17,65.480003,65.480003,64.279999,64.660004,64.364250,2449200
2018-08-20,64.570000,65.110001,64.459999,64.470001,64.175117,1619900
2018-08-21,64.739998,65.400002,64.620003,64.930000,64.633018,2982800
2018-08-22,64.739998,65.870003,64.550003,65.650002,65.349716,2565600
2018-08-23,65.690002,65.989998,65.529999,65.690002,65.389534,2287700
2018-08-24,65.739998,66.260002,65.589996,65.980003,65.678215,1904200
2018-08-27,66.330002,66.349998,65.860001,66.080002,65.777756,1158800
2018-08-28,66.410004,67.300003,66.349998,66.690002,66.384964,2284300
2018-08-29,66.690002,67.279999,66.400002,67.010002,66.703506,1852100
2018-08-30,67.000000,67.650002,66.860001,67.260002,66.952354,2246300
2018-08-31,67.139999,67.550003,67.050003,67.540001,67.231071,1582400
2018-09-04,67.339996,67.559998,66.849998,67.269997,66.962311,1728000
2018-09-05,67.279999,67.400002,66.760002,66.959999,66.653725,1859600
2018-09-06,67.000000,67.550003,66.830002,67.360001,67.051903,1031500
2018-09-07,67.150002,67.830002,67.029999,67.400002,67.091721,1585500
2018-09-10,67.820000,68.410004,67.720001,67.930000,67.619293,2065700
2018-09-11,67.699997,68.059998,67.489998,67.620003,67.310715,1676700
2018-09-12,67.599998,68.010002,67.250000,67.910004,67.599380,1125400
2018-09-13,68.099998,69.660004,67.989998,69.330002,69.012886,2495000
2018-09-14,69.279999,69.410004,68.559998,68.849998,68.535080,1461100
2018-09-17,69.639999,69.660004,69.000000,69.080002,68.764038,1816600
2018-09-18,69.099998,69.269997,68.410004,68.930000,68.614716,1780400
2018-09-19,69.040001,69.639999,68.879997,69.559998,69.241837,1183400
2018-09-20,69.730003,71.160004,69.699997,71.129997,70.804649,2865600
2018-09-21,71.430000,71.459999,70.559998,70.720001,70.396530,3119700
2018-09-24,70.680000,70.680000,69.699997,69.949997,69.630051,2333600
2018-09-25,70.169998,70.830002,69.910004,70.379997,70.058083,2090200
2018-09-26,70.570000,70.989998,70.050003,70.330002,70.008308,1830300
2018-09-27,70.580002,70.849998,70.099998,70.800003,70.476166,1581700
2018-09-28,70.690002,71.000000,70.459999,70.540001,70.217354,2248100
2018-10-01,70.680000,71.580002,70.650002,71.260002,71.084213,2837500
2018-10-02,71.239998,71.730003,70.980003,71.680000,71.503174,2617500
2018-10-03,71.680000,72.370003,71.599998,72.120003,71.942085,3203100
2018-10-04,71.919998,72.129997,70.480003,70.660004,70.485695,2961800
2018-10-05,70.669998,71.180000,69.449997,70.300003,70.126579,2376800
2018-10-08,69.959999,70.050003,68.970001,69.500000,69.328552,2179400
2018-10-09,69.339996,69.629997,68.709999,69.410004,69.238777,2179200
2018-10-10,69.410004,69.410004,66.610001,66.669998,66.505531,3055700
2018-10-11,66.639999,66.970001,64.620003,64.889999,64.729919,3624200
2018-10-12,66.099998,67.029999,65.300003,66.239998,66.076591,3669500
2018-10-15,65.919998,66.349998,65.360001,65.629997,65.468094,1602800
2018-10-16,66.250000,67.570000,65.989998,67.459999,67.293579,1868300
2018-10-17,67.169998,67.459999,66.309998,67.199997,67.034218,1991200
2018-10-18,67.120003,67.199997,65.260002,65.750000,65.587799,2327300
2018-10-19,65.809998,66.239998,64.239998,64.470001,64.310959,2418300
2018-10-22,64.690002,64.839996,63.540001,64.279999,64.121422,2227900
2018-10-23,62.820000,63.130001,61.380001,62.730000,62.575249,4219800
2018-10-24,62.919998,63.759998,61.009998,61.130001,60.979198,3481200
2018-10-25,61.490002,62.889999,61.070000,62.610001,62.455547,3318300
2018-10-26,61.820000,63.110001,61.130001,62.730000,62.575249,3119900
2018-10-29,63.650002,64.169998,61.130001,62.080002,61.926857,2919900
2018-10-30,62.349998,63.720001,61.680000,63.639999,63.483006,3076700
2018-10-31,64.349998,65.980003,64.190002,64.790001,64.630173,3820700
