Date,Open,High,Low,Close,Adj Close,Volume
2014-02-10,37.610001,37.730000,37.349998,37.509998,34.341698,1820100
2014-02-11,37.509998,38.529999,37.509998,38.369999,35.129066,1066200
2014-02-12,38.340000,38.730000,38.200001,38.590000,35.330479,731600
2014-02-13,38.459999,38.849998,38.299999,38.689999,35.422028,391500
2014-02-14,38.599998,38.770000,38.320000,38.720001,35.449493,590700
2014-02-18,38.910000,39.619999,38.730000,39.110001,35.806553,1064500
2014-02-19,39.200001,39.790001,38.990002,39.570000,36.227695,1907700
2014-02-20,39.419998,39.639999,39.180000,39.480000,36.145298,957700
2014-02-21,39.430000,39.740002,38.889999,38.930000,35.641754,1621600
2014-02-24,38.799999,39.650002,38.639999,39.119999,35.815704,1063100
2014-02-25,38.970001,39.400002,38.680000,39.070000,35.769932,1021900
2014-02-26,39.040001,39.299999,38.310001,38.349998,35.110752,1713100
2014-02-27,38.290001,38.549999,38.070000,38.419998,35.174831,1481100
2014-02-28,38.500000,39.060001,38.259998,38.389999,35.147362,1133500
2014-03-03,37.930000,38.680000,37.849998,38.349998,35.110752,1325800
2014-03-04,39.549999,39.900002,39.080002,39.820000,36.456573,1557100
2014-03-05,39.340000,40.080002,38.689999,40.040001,36.658005,1075300
2014-03-06,39.970001,40.950001,39.919998,40.700001,37.262253,1245400
2014-03-07,40.759998,41.250000,40.560001,40.790001,37.344650,1316300
2014-03-10,40.669998,40.889999,40.209999,40.270000,36.868584,1107200
2014-03-11,40.119999,40.369999,39.500000,39.549999,36.209389,1227700
2014-03-12,39.349998,39.540001,38.830002,39.400002,36.191029,1094300
2014-03-13,39.470001,39.689999,38.790001,38.820000,35.658264,1172300
2014-03-14,38.790001,39.410000,38.520000,39.330002,36.126720,1840900
2014-03-17,39.490002,39.900002,39.369999,39.730000,36.494137,902000
2014-03-18,39.430000,39.730000,38.130001,38.500000,35.364319,2938900
2014-03-19,38.580002,38.750000,37.299999,37.500000,34.445763,2710100
2014-03-20,37.430000,37.680000,37.290001,37.490002,34.436584,2241500
2014-03-21,37.959999,37.970001,37.320000,37.540001,34.482513,2400600
2014-03-24,37.820000,38.160000,37.459999,38.090000,34.987705,2142300
2014-03-25,38.209999,38.599998,37.740002,38.150002,35.042828,1355700
2014-03-26,38.310001,38.470001,37.560001,37.599998,34.537609,1526600
2014-03-27,37.630001,37.910000,36.360001,37.139999,34.115089,2484200
2014-03-28,37.240002,37.660000,36.580002,36.720001,33.729290,1971800
2014-03-31,36.639999,37.630001,36.639999,36.939999,33.931370,2167600
2014-04-01,37.310001,37.310001,35.509998,35.779999,32.865849,5836400
2014-04-02,36.020000,37.110001,35.630001,36.980000,33.968117,2352600
2014-04-03,37.099998,37.330002,36.090000,36.439999,33.472099,2463000
2014-04-04,36.619999,36.830002,35.000000,36.299999,33.343502,4030900
2014-04-07,36.299999,36.400002,35.639999,35.790001,32.875042,4113400
2014-04-08,35.820000,36.270000,34.680000,34.810001,31.974863,3528600
2014-04-09,33.889999,34.959999,33.680000,34.880001,32.039150,3826200
2014-04-10,34.900002,35.720001,34.270000,34.889999,32.048336,4076100
2014-04-11,34.810001,35.230000,34.040001,34.770000,31.938116,3862600
2014-04-14,34.799999,35.369999,34.060001,34.410000,31.607435,1999700
2014-04-15,34.360001,34.520000,33.490002,34.130001,31.350245,2976600
2014-04-16,34.380001,34.980000,34.240002,34.730000,31.901373,2141200
2014-04-17,34.810001,35.450001,34.509998,35.009998,32.158573,1673000
2014-04-21,35.040001,35.630001,34.849998,35.480000,32.590290,1540400
2014-04-22,36.020000,36.820000,35.830002,36.619999,33.637440,2859900
