Date,Open,High,Low,Close,Adj Close,Volume
2018-11-08,111.800003,112.209999,110.910004,111.750000,111.269310,25644100
2018-11-09,110.849998,111.449997,108.760002,109.570000,109.098686,32039200
2018-11-12,109.419998,109.959999,106.099998,106.870003,106.410301,33621800
2018-11-13,107.550003,108.739998,106.639999,106.940002,106.480003,35374600
2018-11-14,108.099998,108.260002,104.470001,104.970001,104.970001,39495100
2018-11-15,104.989998,107.800003,103.910004,107.279999,107.279999,38505200
2018-11-16,107.080002,108.879997,106.800003,108.290001,108.290001,33502100
2018-11-19,108.269997,108.559998,103.550003,104.620003,104.620003,44773900
2018-11-20,101.800003,102.970001,99.349998,101.709999,101.709999,64052500
2018-11-21,103.599998,104.430000,102.239998,103.110001,103.110001,28130600
2018-11-23,102.169998,103.809998,102.000000,103.070000,103.070000,13823100
2018-11-26,104.790001,106.629997,104.580002,106.470001,106.470001,32336200
2018-11-27,106.269997,107.330002,105.360001,107.139999,107.139999,29124500
2018-11-28,107.889999,111.330002,107.860001,111.120003,111.120003,46788500
2018-11-29,110.330002,111.120003,109.029999,110.190002,110.190002,28123200
2018-11-30,110.699997,110.970001,109.360001,110.889999,110.889999,33665600
2018-12-03,113.000000,113.419998,110.730003,112.089996,112.089996,34732800
2018-12-04,111.940002,112.639999,108.209999,108.519997,108.519997,45197000
2018-12-06,105.820000,109.239998,105.000000,109.190002,109.190002,49107400
2018-12-07,108.379997,109.449997,104.300003,104.820000,104.820000,45044900
2018-12-10,104.800003,107.980003,103.889999,107.589996,107.589996,40801500
2018-12-11,109.800003,110.949997,107.440002,108.589996,108.589996,42381900
2018-12-12,110.889999,111.269997,109.040001,109.080002,109.080002,36183000
2018-12-13,109.580002,110.870003,108.629997,109.449997,109.449997,31333400
2018-12-14,108.250000,109.260002,105.500000,106.029999,106.029999,47043100
2018-12-17,105.410004,105.800003,101.709999,102.889999,102.889999,56957300
2018-12-18,103.750000,104.510002,102.519997,103.970001,103.970001,49319200
2018-12-19,103.650002,106.879997,101.349998,103.690002,103.690002,68198200
2018-12-20,103.050003,104.309998,98.779999,101.510002,101.510002,70334200
2018-12-21,101.629997,103.000000,97.459999,98.230003,98.230003,111242100
2018-12-24,97.680000,97.970001,93.980003,94.129997,94.129997,43935200
2018-12-26,95.139999,100.690002,93.959999,100.559998,100.559998,51634800
2018-12-27,99.300003,101.190002,96.400002,101.180000,101.180000,49498500
2018-12-28,102.089996,102.410004,99.519997,100.389999,100.389999,38196300
2018-12-31,101.290001,102.400002,100.440002,101.570000,101.570000,33173800
2019-01-02,99.550003,101.750000,98.940002,101.120003,101.120003,35329300
2019-01-03,100.099998,100.190002,97.199997,97.400002,97.400002,42579100
2019-01-04,99.720001,102.510002,98.930000,101.930000,101.930000,44060600
2019-01-07,101.639999,103.269997,100.980003,102.059998,102.059998,35656100
2019-01-08,103.040001,103.970001,101.709999,102.800003,102.800003,31514400
2019-01-09,103.860001,104.879997,103.239998,104.269997,104.269997,32280800
2019-01-10,103.220001,103.750000,102.379997,103.599998,103.599998,30067600
2019-01-11,103.190002,103.440002,101.639999,102.800003,102.800003,28314200
2019-01-14,101.900002,102.870003,101.260002,102.050003,102.050003,28437100
2019-01-15,102.510002,105.050003,101.879997,105.010002,105.010002,31587600
2019-01-16,105.260002,106.260002,104.959999,105.379997,105.379997,29853900
2019-01-17,105.000000,106.629997,104.760002,106.120003,106.120003,28393000
2019-01-18,107.459999,107.900002,105.910004,107.709999,107.709999,37427600
2019-01-22,106.750000,107.099998,104.860001,105.680000,105.680000,32371300
2019-01-23,106.120003,107.040001,105.339996,106.709999,106.709999,25874300
2019-01-24,106.860001,107.000000,105.339996,106.199997,106.199997,23164800
2019-01-25,107.239998,107.879997,106.199997,107.169998,107.169998,31225600
2019-01-28,106.260002,106.480003,104.660004,105.080002,105.080002,29476700
2019-01-29,104.879997,104.970001,102.169998,102.940002,102.940002,31490500
2019-01-30,104.620003,106.379997,104.330002,106.379997,106.379997,49471900
2019-01-31,103.800003,105.220001,103.180000,104.430000,104.430000,55636400
2019-02-01,103.779999,104.099998,102.349998,102.779999,102.779999,35535700
2019-02-04,102.870003,105.800003,102.769997,105.739998,105.739998,31315100
2019-02-05,106.059998,107.269997,105.959999,107.220001,107.220001,27325400
2019-02-06,107.000000,107.000000,105.529999,106.029999,106.029999,20609800
2019-02-07,105.190002,105.589996,104.290001,105.269997,105.269997,29747000
